================================================================================
FVG (Fair Value Gap) Analysis Results
Time Window: 8:30 - 10:00
================================================================================

SUMMARY BY YEAR
--------------------------------------------------------------------------------
Year     Trading Days    Bullish FVG     Bearish FVG     Total FVG   
--------------------------------------------------------------------------------
2018     257             520             483             1003        
2019     258             510             409             919         
2020     259             529             426             955         
2021     258             504             411             915         
2022     258             485             493             978         
2023     257             491             484             975         
2024     259             483             435             918         
2025     222             398             340             738         
--------------------------------------------------------------------------------
TOTAL                    3920            3481            7401        
04/03/2019   09:00:00     Bullish    1.1549         
04/03/2019   09:10:00     Bearish    7.7955         
04/03/2019   09:40:00     Bearish    3.4647         
04/03/2019   09:55:00     Bearish    6.3519         
04/03/2019   10:00:00     Bearish    2.5985         
05/03/2019   08:50:00     Bearish    9.2391         
05/03/2019   09:05:00     Bullish    11.2602        
05/03/2019   09:35:00     Bullish    2.0211         
06/03/2019   08:50:00     Bearish    2.8872         
06/03/2019   09:20:00     Bearish    4.9083         
06/03/2019   09:25:00     Bearish    4.9083         
06/03/2019   09:35:00     Bearish    4.3308         
06/03/2019   10:00:00     Bullish    1.7323         
07/03/2019   08:40:00     Bearish    8.6273         
07/03/2019   08:45:00     Bearish    6.6143         
07/03/2019   08:50:00     Bearish    7.4770         
07/03/2019   08:55:00     Bearish    4.3137         
07/03/2019   09:30:00     Bullish    0.5752         
07/03/2019   09:50:00     Bullish    5.1764         
07/03/2019   09:55:00     Bullish    0.5752         
08/03/2019   08:50:00     Bullish    4.3137         
08/03/2019   09:00:00     Bearish    0.8627         
08/03/2019   09:05:00     Bearish    8.0522         
08/03/2019   09:45:00     Bullish    12.6534        
11/03/2019   08:40:00     Bullish    12.6534        
11/03/2019   09:50:00     Bullish    5.4640         
12/03/2019   08:55:00     Bullish    5.7515         
12/03/2019   09:30:00     Bullish    3.7385         
12/03/2019   09:35:00     Bullish    8.0522         
12/03/2019   09:50:00     Bullish    3.7385         
12/03/2019   10:00:00     Bearish    2.0130         
13/03/2019   08:55:00     Bullish    2.3006         
13/03/2019   09:35:00     Bullish    1.4379         
13/03/2019   09:50:00     Bullish    4.0261         
13/03/2019   09:55:00     Bullish    6.0391         
14/03/2019   08:50:00     Bullish    0.8627         
14/03/2019   08:55:00     Bullish    2.0130         
14/03/2019   09:05:00     Bearish    8.9149         
14/03/2019   09:20:00     Bullish    2.3006         
15/03/2019   08:45:00     Bullish    13.2285        
15/03/2019   08:55:00     Bullish    2.8758         
15/03/2019   09:05:00     Bearish    2.0130         
15/03/2019   09:10:00     Bearish    0.5752         
15/03/2019   09:25:00     Bullish    1.7255         
15/03/2019   09:40:00     Bearish    2.0130         
15/03/2019   10:00:00     Bullish    2.8758         
18/03/2019   08:50:00     Bullish    3.7385         
18/03/2019   09:00:00     Bullish    7.7646         
18/03/2019   09:35:00     Bearish    2.0130         
18/03/2019   09:50:00     Bullish    4.0261         
18/03/2019   09:55:00     Bullish    1.4379         
19/03/2019   08:45:00     Bearish    0.2876         
19/03/2019   09:30:00     Bearish    1.4379         
20/03/2019   09:50:00     Bullish    1.7255         
21/03/2019   08:40:00     Bullish    16.9670        
21/03/2019   08:50:00     Bullish    2.3006         
21/03/2019   09:10:00     Bullish    0.5752         
21/03/2019   09:30:00     Bullish    5.1764         
22/03/2019   08:50:00     Bearish    19.2677        
22/03/2019   08:55:00     Bearish    13.2285        
22/03/2019   09:20:00     Bullish    0.5752         
22/03/2019   09:45:00     Bearish    3.1633         
22/03/2019   09:50:00     Bearish    5.7515         
25/03/2019   08:50:00     Bearish    10.3528        
25/03/2019   09:30:00     Bullish    0.5752         
25/03/2019   09:50:00     Bullish    12.0782        
25/03/2019   09:55:00     Bullish    10.3528        
26/03/2019   09:00:00     Bullish    4.0261         
26/03/2019   09:10:00     Bearish    2.5882         
26/03/2019   09:35:00     Bearish    2.3006         
26/03/2019   09:50:00     Bullish    11.7907        
26/03/2019   09:55:00     Bullish    0.5752         
27/03/2019   09:00:00     Bearish    2.0130         
27/03/2019   09:15:00     Bullish    0.2876         
27/03/2019   09:20:00     Bullish    1.7255         
27/03/2019   09:40:00     Bearish    5.4640         
27/03/2019   09:45:00     Bearish    15.8167        
28/03/2019   09:05:00     Bullish    12.0782        
28/03/2019   09:55:00     Bearish    4.0261         
29/03/2019   09:45:00     Bearish    5.4640         
29/03/2019   09:55:00     Bearish    3.4509         
01/04/2019   09:10:00     Bearish    9.7776         
01/04/2019   09:20:00     Bullish    2.3006         
01/04/2019   09:55:00     Bullish    2.5882         
02/04/2019   09:00:00     Bearish    2.5882         
02/04/2019   09:10:00     Bullish    3.7385         
02/04/2019   09:15:00     Bullish    1.7255         
02/04/2019   09:30:00     Bullish    2.8758         
03/04/2019   08:45:00     Bullish    2.0130         
03/04/2019   09:15:00     Bullish    1.7255         
03/04/2019   09:20:00     Bullish    2.5882         
03/04/2019   09:25:00     Bullish    2.0130         
03/04/2019   10:00:00     Bullish    6.0391         
04/04/2019   08:40:00     Bullish    5.1764         
04/04/2019   09:10:00     Bearish    2.5882         
04/04/2019   09:20:00     Bearish    6.9018         
04/04/2019   09:25:00     Bearish    6.3267         
04/04/2019   09:30:00     Bearish    2.0130         
04/04/2019   09:45:00     Bullish    6.9018         
04/04/2019   09:50:00     Bullish    6.3267         
05/04/2019   09:05:00     Bullish    3.7385         
05/04/2019   09:55:00     Bullish    1.4379         
08/04/2019   09:10:00     Bullish    0.5752         
08/04/2019   09:35:00     Bullish    4.8888         
09/04/2019   08:40:00     Bullish    1.7255         
09/04/2019   09:25:00     Bullish    4.0261         
09/04/2019   09:45:00     Bearish    6.0391         
10/04/2019   09:10:00     Bearish    0.8627         
10/04/2019   09:35:00     Bullish    2.3006         
10/04/2019   09:45:00     Bullish    2.0130         
10/04/2019   09:50:00     Bullish    6.3267         
11/04/2019   09:45:00     Bullish    0.2876         
12/04/2019   09:25:00     Bullish    2.0130         
12/04/2019   09:40:00     Bearish    4.8888         
12/04/2019   09:45:00     Bearish    6.9019         
15/04/2019   08:50:00     Bearish    0.8627         
15/04/2019   08:55:00     Bearish    1.4379         
15/04/2019   09:15:00     Bearish    3.7385         
15/04/2019   09:20:00     Bearish    2.5882         
15/04/2019   09:30:00     Bearish    13.2285        
15/04/2019   09:35:00     Bearish    2.3006         
15/04/2019   09:55:00     Bullish    2.0130         
16/04/2019   09:00:00     Bullish    0.5752         
16/04/2019   09:05:00     Bullish    2.0130         
16/04/2019   09:15:00     Bullish    0.2876         
16/04/2019   09:45:00     Bearish    5.1764         
16/04/2019   09:55:00     Bullish    1.7255         
17/04/2019   09:00:00     Bearish    10.6404        
17/04/2019   09:05:00     Bearish    8.0522         
17/04/2019   09:20:00     Bullish    2.5882         
17/04/2019   09:25:00     Bullish    5.7515         
17/04/2019   09:30:00     Bullish    1.1503         
17/04/2019   09:55:00     Bearish    2.3006         
18/04/2019   08:55:00     Bearish    1.4379         
18/04/2019   09:00:00     Bearish    4.6012         
18/04/2019   09:25:00     Bearish    10.3528        
18/04/2019   09:50:00     Bullish    5.7515         
22/04/2019   08:50:00     Bullish    0.2876         
22/04/2019   09:05:00     Bullish    5.7515         
22/04/2019   09:15:00     Bearish    1.1503         
22/04/2019   09:30:00     Bullish    3.1633         
22/04/2019   09:50:00     Bullish    0.2876         
23/04/2019   08:40:00     Bullish    7.1894         
23/04/2019   08:45:00     Bullish    10.3528        
23/04/2019   09:50:00     Bearish    3.7385         
24/04/2019   08:45:00     Bearish    4.0261         
24/04/2019   08:50:00     Bearish    1.7255         
24/04/2019   09:10:00     Bullish    1.7255         
24/04/2019   09:45:00     Bearish    4.3137         
24/04/2019   10:00:00     Bullish    7.1894         
25/04/2019   08:50:00     Bullish    5.7515         
25/04/2019   09:10:00     Bearish    11.7907        
25/04/2019   09:15:00     Bearish    25.8819        
25/04/2019   09:40:00     Bullish    5.1764         
25/04/2019   10:00:00     Bullish    1.1503         
26/04/2019   08:40:00     Bearish    10.6404        
26/04/2019   09:05:00     Bullish    0.2876         
26/04/2019   09:10:00     Bullish    2.5882         
29/04/2019   09:15:00     Bullish    3.1633         
30/04/2019   09:25:00     Bearish    6.6143         
30/04/2019   10:00:00     Bearish    4.0261         
01/05/2019   09:10:00     Bullish    2.3006         
01/05/2019   09:25:00     Bearish    0.5752         
01/05/2019   09:30:00     Bearish    1.1503         
02/05/2019   09:05:00     Bullish    2.0130         
02/05/2019   09:55:00     Bearish    4.0261         
03/05/2019   08:55:00     Bullish    0.5752         
03/05/2019   09:30:00     Bullish    1.4379         
03/05/2019   09:35:00     Bullish    4.0261         
03/05/2019   09:50:00     Bullish    2.3006         
06/05/2019   08:40:00     Bullish    11.5031        
06/05/2019   09:15:00     Bullish    3.7385         
06/05/2019   09:20:00     Bullish    1.7255         
06/05/2019   09:55:00     Bullish    8.0522         
07/05/2019   08:50:00     Bearish    15.5292        
07/05/2019   09:05:00     Bearish    6.9018         
07/05/2019   09:40:00     Bearish    2.5882         
08/05/2019   08:45:00     Bullish    8.6273         
08/05/2019   09:35:00     Bearish    7.1894         
08/05/2019   09:45:00     Bullish    11.2155        
08/05/2019   10:00:00     Bullish    9.2025         
09/05/2019   09:25:00     Bearish    6.9018         
10/05/2019   08:55:00     Bearish    10.9279        
10/05/2019   09:00:00     Bearish    3.1633         
10/05/2019   09:05:00     Bearish    11.5031        
10/05/2019   09:15:00     Bearish    11.5031        
10/05/2019   09:20:00     Bearish    5.7515         
10/05/2019   09:35:00     Bearish    11.5031        
10/05/2019   09:40:00     Bearish    18.4049        
10/05/2019   10:00:00     Bearish    1.1503         
13/05/2019   08:50:00     Bearish    9.2025         
13/05/2019   08:55:00     Bearish    24.7316        
13/05/2019   09:05:00     Bearish    3.1633         
13/05/2019   09:40:00     Bullish    3.4509         
14/05/2019   08:50:00     Bearish    22.1434        
14/05/2019   09:20:00     Bullish    16.1043        
15/05/2019   09:15:00     Bullish    8.9149         
15/05/2019   09:30:00     Bullish    15.8167        
15/05/2019   09:45:00     Bullish    1.1503         
16/05/2019   08:40:00     Bullish    16.1043        
16/05/2019   08:45:00     Bullish    5.7515         
16/05/2019   08:50:00     Bullish    1.1503         
16/05/2019   08:55:00     Bullish    11.2155        
16/05/2019   09:20:00     Bullish    9.7776         
16/05/2019   09:25:00     Bullish    3.1633         
16/05/2019   09:30:00     Bullish    4.3137         
17/05/2019   08:40:00     Bullish    3.4509         
17/05/2019   08:45:00     Bullish    6.0391         
17/05/2019   08:55:00     Bearish    6.0391         
17/05/2019   09:20:00     Bullish    0.8627         
17/05/2019   09:25:00     Bullish    4.6012         
17/05/2019   09:30:00     Bullish    0.8627         
17/05/2019   09:55:00     Bullish    10.6404        
17/05/2019   10:00:00     Bullish    9.4900         
20/05/2019   08:40:00     Bearish    18.4049        
20/05/2019   09:25:00     Bullish    7.4770         
20/05/2019   09:30:00     Bullish    3.1633         
20/05/2019   09:35:00     Bullish    1.7255         
20/05/2019   09:45:00     Bearish    4.0261         
20/05/2019   09:50:00     Bearish    0.5752         
21/05/2019   09:35:00     Bullish    1.7255         
21/05/2019   09:45:00     Bullish    6.6143         
21/05/2019   09:55:00     Bullish    1.4379         
22/05/2019   08:55:00     Bullish    0.5752         
22/05/2019   09:35:00     Bearish    3.4509         
22/05/2019   10:00:00     Bearish    4.3137         
23/05/2019   09:30:00     Bullish    3.7385         
24/05/2019   09:30:00     Bearish    12.3658        
24/05/2019   09:50:00     Bearish    5.7515         
24/05/2019   09:55:00     Bearish    1.1503         
28/05/2019   08:40:00     Bullish    6.0391         
28/05/2019   09:15:00     Bearish    4.3137         
28/05/2019   09:20:00     Bearish    1.1503         
28/05/2019   09:35:00     Bearish    2.8758         
29/05/2019   09:15:00     Bullish    6.3267         
29/05/2019   09:20:00     Bullish    2.0130         
29/05/2019   09:40:00     Bearish    5.4640         
29/05/2019   09:55:00     Bearish    2.0130         
30/05/2019   09:10:00     Bearish    0.8627         
30/05/2019   09:55:00     Bearish    6.3267         
31/05/2019   09:00:00     Bullish    4.0261         
31/05/2019   09:25:00     Bullish    0.2876         
31/05/2019   09:50:00     Bullish    6.9018         
03/06/2019   08:45:00     Bearish    18.4049        
03/06/2019   08:50:00     Bearish    24.4441        
03/06/2019   09:00:00     Bearish    2.3006         
03/06/2019   09:30:00     Bullish    13.8037        
03/06/2019   10:00:00     Bullish    5.1764         
04/06/2019   09:15:00     Bullish    10.9279        
04/06/2019   09:20:00     Bullish    1.1503         
04/06/2019   09:25:00     Bullish    8.6273         
04/06/2019   09:30:00     Bullish    8.9149         
04/06/2019   09:40:00     Bearish    0.2876         
05/06/2019   08:45:00     Bearish    12.3658        
05/06/2019   09:50:00     Bearish    7.4770         
06/06/2019   09:40:00     Bullish    2.3006         
07/06/2019   08:40:00     Bullish    32.7838        
07/06/2019   09:00:00     Bullish    7.1894         
07/06/2019   09:05:00     Bullish    0.2876         
07/06/2019   09:30:00     Bullish    14.6664        
07/06/2019   09:35:00     Bullish    13.5161        
07/06/2019   09:40:00     Bullish    1.4379         
07/06/2019   10:00:00     Bullish    7.4770         
10/06/2019   09:00:00     Bullish    2.8758         
10/06/2019   09:10:00     Bullish    8.3397         
10/06/2019   09:45:00     Bullish    4.3137         
10/06/2019   09:50:00     Bullish    0.2876         
11/06/2019   08:40:00     Bearish    10.3528        
11/06/2019   09:25:00     Bullish    2.3006         
11/06/2019   09:45:00     Bearish    2.8758         
11/06/2019   09:50:00     Bearish    4.8888         
12/06/2019   09:10:00     Bearish    2.0130         
12/06/2019   09:25:00     Bearish    1.4379         
12/06/2019   09:40:00     Bullish    2.5882         
12/06/2019   09:50:00     Bullish    2.3006         
12/06/2019   10:00:00     Bearish    7.1894         
13/06/2019   08:40:00     Bullish    2.0130         
13/06/2019   09:10:00     Bearish    1.4379         
14/06/2019   09:10:00     Bullish    0.8627         
14/06/2019   09:50:00     Bullish    11.5031        
14/06/2019   10:00:00     Bearish    0.2876         
17/06/2019   08:40:00     Bullish    2.8658         
17/06/2019   08:45:00     Bullish    6.3047         
17/06/2019   08:50:00     Bullish    0.2866         
17/06/2019   08:55:00     Bullish    1.1463         
17/06/2019   09:30:00     Bullish    3.1523         
17/06/2019   09:45:00     Bearish    0.2866         
18/06/2019   08:40:00     Bullish    7.4510         
18/06/2019   08:45:00     Bullish    28.6575        
19/06/2019   08:40:00     Bearish    17.7677        
20/06/2019   09:20:00     Bearish    10.8899        
21/06/2019   09:45:00     Bullish    5.7315         
24/06/2019   09:05:00     Bullish    3.1523         
24/06/2019   09:10:00     Bullish    6.5912         
24/06/2019   09:40:00     Bearish    1.1463         
25/06/2019   08:40:00     Bearish    7.1644         
25/06/2019   09:15:00     Bearish    0.5732         
25/06/2019   09:40:00     Bearish    3.1523         
26/06/2019   08:40:00     Bullish    15.4751        
26/06/2019   08:50:00     Bearish    0.8597         
26/06/2019   09:10:00     Bearish    1.7195         
26/06/2019   09:15:00     Bearish    0.8597         
28/06/2019   08:40:00     Bearish    6.0181         
28/06/2019   08:50:00     Bearish    4.8718         
28/06/2019   09:45:00     Bullish    0.2866         
01/07/2019   08:50:00     Bearish    3.4389         
01/07/2019   09:15:00     Bearish    3.1523         
01/07/2019   09:25:00     Bearish    10.8899        
02/07/2019   09:15:00     Bearish    1.4329         
02/07/2019   09:30:00     Bullish    8.3107         
02/07/2019   09:35:00     Bullish    3.1523         
02/07/2019   09:45:00     Bearish    0.2866         
03/07/2019   09:20:00     Bullish    0.2866         
03/07/2019   09:30:00     Bullish    1.7195         
04/07/2019   08:40:00     Bullish    0.2866         
04/07/2019   09:05:00     Bearish    1.4329         
04/07/2019   09:40:00     Bullish    0.5732         
04/07/2019   09:55:00     Bullish    4.0121         
05/07/2019   09:00:00     Bearish    12.0362        
05/07/2019   09:10:00     Bullish    0.2866         
05/07/2019   09:50:00     Bullish    1.1463         
08/07/2019   08:40:00     Bearish    9.7436         
08/07/2019   09:05:00     Bullish    3.4389         
08/07/2019   09:10:00     Bullish    3.1523         
08/07/2019   09:15:00     Bullish    0.5732         
08/07/2019   09:20:00     Bullish    1.7195         
08/07/2019   09:30:00     Bearish    5.4449         
09/07/2019   09:05:00     Bullish    7.1644         
09/07/2019   09:35:00     Bullish    3.7255         
10/07/2019   08:50:00     Bullish    10.8899        
10/07/2019   09:10:00     Bearish    3.7255         
10/07/2019   09:25:00     Bearish    3.7255         
10/07/2019   09:30:00     Bearish    0.2866         
10/07/2019   09:55:00     Bearish    6.3047         
10/07/2019   10:00:00     Bearish    3.1523         
11/07/2019   09:10:00     Bearish    1.1463         
11/07/2019   09:35:00     Bearish    2.2926         
11/07/2019   09:55:00     Bullish    5.7315         
12/07/2019   09:15:00     Bearish    4.0121         
15/07/2019   09:20:00     Bullish    2.0060         
15/07/2019   09:55:00     Bullish    2.8658         
16/07/2019   09:05:00     Bearish    1.1463         
16/07/2019   09:45:00     Bullish    0.5732         
17/07/2019   09:10:00     Bearish    7.1644         
17/07/2019   09:45:00     Bearish    11.4630        
18/07/2019   08:40:00     Bullish    1.1463         
18/07/2019   09:10:00     Bullish    2.8658         
18/07/2019   09:35:00     Bearish    1.4329         
18/07/2019   09:55:00     Bearish    4.5852         
19/07/2019   09:10:00     Bearish    9.1704         
19/07/2019   09:50:00     Bearish    6.5912         
22/07/2019   08:45:00     Bullish    3.7255         
22/07/2019   08:50:00     Bullish    3.1523         
22/07/2019   08:55:00     Bullish    6.3047         
22/07/2019   09:10:00     Bearish    3.7255         
22/07/2019   09:20:00     Bearish    0.2866         
23/07/2019   08:40:00     Bearish    1.4329         
23/07/2019   09:10:00     Bearish    1.7195         
23/07/2019   09:15:00     Bearish    3.7255         
23/07/2019   09:35:00     Bullish    5.1584         
23/07/2019   09:40:00     Bullish    0.2866         
24/07/2019   08:40:00     Bullish    3.7255         
24/07/2019   08:45:00     Bullish    1.1463         
24/07/2019   09:30:00     Bullish    1.7195         
24/07/2019   09:35:00     Bullish    4.2986         
24/07/2019   09:50:00     Bearish    1.7195         
24/07/2019   09:55:00     Bearish    1.4329         
25/07/2019   08:40:00     Bearish    3.7255         
25/07/2019   08:45:00     Bearish    2.8658         
25/07/2019   08:50:00     Bearish    2.8658         
25/07/2019   09:35:00     Bullish    11.4630        
25/07/2019   09:40:00     Bullish    5.1584         
26/07/2019   09:35:00     Bearish    1.1463         
29/07/2019   08:40:00     Bearish    2.2926         
29/07/2019   08:45:00     Bearish    6.0181         
29/07/2019   08:55:00     Bearish    8.3107         
29/07/2019   09:00:00     Bearish    1.7195         
29/07/2019   09:10:00     Bearish    4.2986         
29/07/2019   09:25:00     Bullish    0.2866         
30/07/2019   08:40:00     Bullish    5.1584         
30/07/2019   09:05:00     Bullish    1.7195         
31/07/2019   09:05:00     Bullish    0.2866         
31/07/2019   09:10:00     Bullish    4.0121         
31/07/2019   09:30:00     Bearish    2.0060         
31/07/2019   09:35:00     Bearish    2.8658         
31/07/2019   09:55:00     Bullish    2.0060         
01/08/2019   09:20:00     Bullish    4.8718         
01/08/2019   09:30:00     Bullish    8.5973         
01/08/2019   09:45:00     Bullish    3.4389         
01/08/2019   09:50:00     Bullish    1.1463         
01/08/2019   09:55:00     Bullish    11.4630        
02/08/2019   09:10:00     Bearish    6.8778         
02/08/2019   09:35:00     Bearish    21.4931        
05/08/2019   08:45:00     Bearish    2.8658         
05/08/2019   09:40:00     Bearish    9.1704         
06/08/2019   09:15:00     Bearish    31.2367        
06/08/2019   09:40:00     Bullish    1.4329         
06/08/2019   09:50:00     Bearish    10.6033        
07/08/2019   08:50:00     Bearish    5.4449         
07/08/2019   09:00:00     Bullish    4.5852         
07/08/2019   09:10:00     Bullish    9.7436         
07/08/2019   09:15:00     Bullish    2.8658         
07/08/2019   09:35:00     Bullish    6.3047         
07/08/2019   09:55:00     Bullish    10.6033        
08/08/2019   09:00:00     Bullish    8.3107         
08/08/2019   09:30:00     Bullish    5.7315         
08/08/2019   09:35:00     Bullish    0.2866         
08/08/2019   09:55:00     Bullish    6.5912         
09/08/2019   08:45:00     Bearish    5.1584         
09/08/2019   08:50:00     Bearish    14.3288        
09/08/2019   08:55:00     Bearish    2.2926         
09/08/2019   09:50:00     Bullish    3.4389         
09/08/2019   09:55:00     Bullish    4.8718         
12/08/2019   09:20:00     Bullish    12.3227        
12/08/2019   09:25:00     Bullish    6.3047         
12/08/2019   09:45:00     Bearish    8.5973         
12/08/2019   09:55:00     Bullish    2.0060         
13/08/2019   08:40:00     Bullish    38.1145        
13/08/2019   08:50:00     Bullish    92.2772        
13/08/2019   09:20:00     Bullish    8.3107         
13/08/2019   09:40:00     Bearish    0.2866         
13/08/2019   09:45:00     Bearish    6.0181         
14/08/2019   09:05:00     Bearish    4.8718         
16/08/2019   09:25:00     Bullish    3.1523         
16/08/2019   09:40:00     Bullish    0.5732         
16/08/2019   09:45:00     Bullish    4.0121         
16/08/2019   10:00:00     Bullish    11.4630        
19/08/2019   08:50:00     Bearish    5.7315         
19/08/2019   08:55:00     Bearish    2.5792         
19/08/2019   09:10:00     Bearish    1.7195         
19/08/2019   09:15:00     Bearish    0.5732         
19/08/2019   09:55:00     Bullish    2.2926         
20/08/2019   09:10:00     Bullish    3.7255         
20/08/2019   10:00:00     Bullish    6.5912         
21/08/2019   08:45:00     Bullish    6.8778         
21/08/2019   09:10:00     Bearish    0.5732         
22/08/2019   09:10:00     Bearish    13.4690        
22/08/2019   09:15:00     Bearish    0.5732         
22/08/2019   09:20:00     Bearish    1.1463         
22/08/2019   09:25:00     Bearish    11.1764        
22/08/2019   09:30:00     Bearish    5.7315         
22/08/2019   09:35:00     Bearish    27.7978        
23/08/2019   08:50:00     Bearish    21.2066        
23/08/2019   09:05:00     Bullish    15.7616        
23/08/2019   09:20:00     Bullish    6.5912         
23/08/2019   09:35:00     Bullish    2.8658         
23/08/2019   09:40:00     Bullish    15.1885        
26/08/2019   09:00:00     Bullish    3.7255         
26/08/2019   09:10:00     Bearish    13.4690        
26/08/2019   09:50:00     Bullish    3.7255         
27/08/2019   09:25:00     Bearish    3.7255         
27/08/2019   09:50:00     Bearish    0.2866         
28/08/2019   08:45:00     Bullish    1.1463         
28/08/2019   08:55:00     Bullish    4.2986         
28/08/2019   09:20:00     Bearish    7.7375         
28/08/2019   09:45:00     Bullish    2.2926         
29/08/2019   09:05:00     Bearish    0.2866         
29/08/2019   09:40:00     Bearish    7.4510         
29/08/2019   09:55:00     Bullish    2.2926         
29/08/2019   10:00:00     Bullish    4.5852         
30/08/2019   09:15:00     Bearish    10.6033        
02/09/2019   08:40:00     Bearish    6.3047         
02/09/2019   09:05:00     Bullish    5.1584         
02/09/2019   09:15:00     Bullish    2.2926         
02/09/2019   09:20:00     Bullish    0.8597         
03/09/2019   09:05:00     Bearish    49.8641        
03/09/2019   09:45:00     Bullish    3.4389         
04/09/2019   09:10:00     Bearish    2.5792         
05/09/2019   08:50:00     Bullish    5.1584         
05/09/2019   09:05:00     Bullish    3.1523         
05/09/2019   09:15:00     Bullish    2.2926         
05/09/2019   09:20:00     Bullish    6.8778         
05/09/2019   09:50:00     Bearish    3.4389         
06/09/2019   08:40:00     Bearish    2.5792         
06/09/2019   08:50:00     Bullish    6.8778         
06/09/2019   09:00:00     Bearish    2.8658         
06/09/2019   09:45:00     Bullish    3.1523         
06/09/2019   09:50:00     Bullish    2.8658         
06/09/2019   10:00:00     Bearish    1.7195         
09/09/2019   08:55:00     Bearish    0.5732         
09/09/2019   09:00:00     Bearish    0.5732         
10/09/2019   08:40:00     Bearish    6.0181         
10/09/2019   09:20:00     Bullish    1.1463         
10/09/2019   09:25:00     Bullish    8.0241         
10/09/2019   09:55:00     Bearish    1.7195         
11/09/2019   08:40:00     Bullish    2.8658         
11/09/2019   09:15:00     Bullish    7.1644         
12/09/2019   08:45:00     Bearish    3.7255         
12/09/2019   08:50:00     Bearish    0.8597         
12/09/2019   09:00:00     Bullish    2.2926         
12/09/2019   09:05:00     Bullish    0.8597         
12/09/2019   09:15:00     Bullish    9.1704         
12/09/2019   09:55:00     Bearish    19.7737        
13/09/2019   09:10:00     Bearish    0.2866         
13/09/2019   09:20:00     Bullish    6.3047         
13/09/2019   09:25:00     Bullish    2.5792         
13/09/2019   09:50:00     Bullish    0.2866         
16/09/2019   09:30:00     Bearish    4.5735         
19/09/2019   09:35:00     Bullish    0.2858         
19/09/2019   10:00:00     Bearish    4.5735         
20/09/2019   08:50:00     Bearish    0.2858         
20/09/2019   09:40:00     Bearish    6.0027         
23/09/2019   09:05:00     Bearish    9.1470         
23/09/2019   09:10:00     Bearish    6.8602         
23/09/2019   09:20:00     Bullish    3.7160         
23/09/2019   09:25:00     Bullish    6.5744         
23/09/2019   09:45:00     Bearish    1.7151         
23/09/2019   09:55:00     Bearish    1.4292         
24/09/2019   08:40:00     Bullish    2.0009         
24/09/2019   09:05:00     Bearish    1.1434         
24/09/2019   09:10:00     Bearish    1.4292         
24/09/2019   09:45:00     Bearish    6.5744         
25/09/2019   08:45:00     Bearish    7.7178         
25/09/2019   08:50:00     Bearish    4.2877         
25/09/2019   09:30:00     Bullish    5.4310         
25/09/2019   09:35:00     Bullish    4.2877         
25/09/2019   09:55:00     Bullish    15.7214        
26/09/2019   08:40:00     Bearish    4.5735         
26/09/2019   09:15:00     Bearish    0.2858         
26/09/2019   09:30:00     Bullish    4.2877         
26/09/2019   09:50:00     Bullish    3.4301         
26/09/2019   10:00:00     Bearish    18.2940        
27/09/2019   08:55:00     Bearish    15.7214        
27/09/2019   09:40:00     Bullish    5.4310         
27/09/2019   09:45:00     Bullish    2.8584         
30/09/2019   08:50:00     Bullish    2.8584         
30/09/2019   09:55:00     Bullish    2.2867         
01/10/2019   08:40:00     Bullish    2.8584         
01/10/2019   08:45:00     Bullish    3.4301         
01/10/2019   09:05:00     Bearish    38.5889        
01/10/2019   09:10:00     Bearish    14.8639        
01/10/2019   09:30:00     Bullish    4.0018         
01/10/2019   10:00:00     Bearish    5.1452         
02/10/2019   08:40:00     Bearish    8.8611         
02/10/2019   08:55:00     Bearish    0.5717         
02/10/2019   09:25:00     Bearish    6.2886         
02/10/2019   09:30:00     Bearish    4.2877         
02/10/2019   09:35:00     Bearish    9.7187         
03/10/2019   09:05:00     Bearish    72.6043        
03/10/2019   09:20:00     Bullish    5.7169         
03/10/2019   09:30:00     Bullish    2.5726         
03/10/2019   09:50:00     Bearish    2.5726         
03/10/2019   10:00:00     Bullish    7.4319         
04/10/2019   09:00:00     Bullish    6.0027         
04/10/2019   09:30:00     Bearish    4.2877         
04/10/2019   09:55:00     Bullish    3.7160         
07/10/2019   08:55:00     Bullish    2.2867         
07/10/2019   09:10:00     Bullish    8.5753         
07/10/2019   09:30:00     Bullish    2.0009         
07/10/2019   10:00:00     Bullish    6.8602         
08/10/2019   08:40:00     Bearish    0.2858         
08/10/2019   08:55:00     Bearish    2.8584         
08/10/2019   09:05:00     Bearish    0.5717         
08/10/2019   09:50:00     Bearish    1.4292         
08/10/2019   10:00:00     Bullish    11.7196        
09/10/2019   08:55:00     Bearish    8.5753         
10/10/2019   08:50:00     Bullish    11.1479        
10/10/2019   08:55:00     Bullish    16.8648        
10/10/2019   09:00:00     Bullish    0.2858         
10/10/2019   09:55:00     Bullish    4.5735         
10/10/2019   10:00:00     Bullish    2.5726         
11/10/2019   08:40:00     Bullish    4.2877         
11/10/2019   08:45:00     Bullish    2.0009         
11/10/2019   08:50:00     Bullish    4.2877         
11/10/2019   09:30:00     Bullish    0.8575         
11/10/2019   09:40:00     Bearish    1.4292         
11/10/2019   09:55:00     Bullish    2.0009         
14/10/2019   09:20:00     Bearish    4.2877         
14/10/2019   09:25:00     Bearish    0.2858         
14/10/2019   09:35:00     Bullish    6.0027         
14/10/2019   09:40:00     Bullish    2.0009         
15/10/2019   08:40:00     Bullish    1.4292         
